time,latitude,longitude,sst
UTC,degrees_north,degrees_east,
2010-01-01T00:00:00Z,7.75,70.0,302.25977
2010-01-01T00:00:00Z,7.75,70.25,302.25293
2010-01-01T00:00:00Z,7.75,70.5,302.26074
2010-01-01T00:00:00Z,7.75,70.75,302.25488
2010-01-01T00:00:00Z,7.75,71.0,302.23828
2010-01-01T00:00:00Z,7.75,71.25,302.20996
2010-01-01T00:00:00Z,7.75,71.5,302.16406
2010-01-01T00:00:00Z,7.75,71.75,302.11914
2010-01-01T00:00:00Z,7.75,72.0,302.07422
2010-01-01T00:00:00Z,7.75,72.25,301.99902
2010-01-01T00:00:00Z,7.75,72.5,301.89355
2010-01-01T00:00:00Z,7.75,72.75,301.8037
2010-01-01T00:00:00Z,7.75,73.0,301.7412
2010-01-01T00:00:00Z,7.75,73.25,301.7002
2010-01-01T00:00:00Z,7.75,73.5,301.67773
2010-01-01T00:00:00Z,7.75,73.75,301.66895
2010-01-01T00:00:00Z,7.75,74.0,301.66797
2010-01-01T00:00:00Z,7.75,74.25,301.65137
2010-01-01T00:00:00Z,7.75,74.5,301.62793
2010-01-01T00:00:00Z,7.75,74.75,301.62305
2010-01-01T00:00:00Z,7.75,75.0,301.625
2010-01-01T00:00:00Z,7.75,75.25,301.61816
2010-01-01T00:00:00Z,7.75,75.5,301.61523
2010-01-01T00:00:00Z,7.75,75.75,301.6045
2010-01-01T00:00:00Z,7.75,76.0,301.56152
2010-01-01T00:00:00Z,7.75,76.25,301.49512
2010-01-01T00:00:00Z,7.75,76.5,301.50488
2010-01-01T00:00:00Z,7.75,76.75,301.39746
2010-01-01T00:00:00Z,7.75,77.0,301.2295
2010-01-01T00:00:00Z,7.75,77.25,301.04492
2010-01-01T00:00:00Z,7.75,77.5,300.8164
2010-01-01T00:00:00Z,7.75,77.75,300.70996
2010-01-01T00:00:00Z,7.75,78.0,300.73633
2010-01-01T00:00:00Z,8.0,70.0,302.24316
2010-01-01T00:00:00Z,8.0,70.25,302.24316
2010-01-01T00:00:00Z,8.0,70.5,302.24707
2010-01-01T00:00:00Z,8.0,70.75,302.2373
2010-01-01T00:00:00Z,8.0,71.0,302.22363
2010-01-01T00:00:00Z,8.0,71.25,302.19727
2010-01-01T00:00:00Z,8.0,71.5,302.14746
2010-01-01T00:00:00Z,8.0,71.75,302.11328
2010-01-01T00:00:00Z,8.0,72.0,302.0537
2010-01-01T00:00:00Z,8.0,72.25,301.97754
2010-01-01T00:00:00Z,8.0,72.5,301.88672
2010-01-01T00:00:00Z,8.0,72.75,301.82324
2010-01-01T00:00:00Z,8.0,73.0,301.75293
2010-01-01T00:00:00Z,8.0,73.25,301.69336
2010-01-01T00:00:00Z,8.0,73.5,301.6709
2010-01-01T00:00:00Z,8.0,73.75,301.67383
2010-01-01T00:00:00Z,8.0,74.0,301.67676
2010-01-01T00:00:00Z,8.0,74.25,301.6621
2010-01-01T00:00:00Z,8.0,74.5,301.69727
2010-01-01T00:00:00Z,8.0,74.75,301.708
2010-01-01T00:00:00Z,8.0,75.0,301.71875
2010-01-01T00:00:00Z,8.0,75.25,301.71973
2010-01-01T00:00:00Z,8.0,75.5,301.71973
2010-01-01T00:00:00Z,8.0,75.75,301.6875
2010-01-01T00:00:00Z,8.0,76.0,301.61426
2010-01-01T00:00:00Z,8.0,76.25,301.6045
2010-01-01T00:00:00Z,8.0,76.5,301.5244
2010-01-01T00:00:00Z,8.0,76.75,301.32812
2010-01-01T00:00:00Z,8.0,77.0,301.4248
2010-01-01T00:00:00Z,8.0,77.25,301.28418
2010-01-01T00:00:00Z,8.0,77.5,300.91992
2010-01-01T00:00:00Z,8.0,77.75,300.63574
2010-01-01T00:00:00Z,8.0,78.0,300.61133
2010-01-01T00:00:00Z,8.25,70.0,302.2422
2010-01-01T00:00:00Z,8.25,70.25,302.23047
2010-01-01T00:00:00Z,8.25,70.5,302.2256
2010-01-01T00:00:00Z,8.25,70.75,302.2207
2010-01-01T00:00:00Z,8.25,71.0,302.208
2010-01-01T00:00:00Z,8.25,71.25,302.1748
2010-01-01T00:00:00Z,8.25,71.5,302.11816
2010-01-01T00:00:00Z,8.25,71.75,302.08008
2010-01-01T00:00:00Z,8.25,72.0,302.01074
2010-01-01T00:00:00Z,8.25,72.25,301.95703
2010-01-01T00:00:00Z,8.25,72.5,301.86914
2010-01-01T00:00:00Z,8.25,72.75,301.8164
2010-01-01T00:00:00Z,8.25,73.0,301.7539
2010-01-01T00:00:00Z,8.25,73.25,301.71875
2010-01-01T00:00:00Z,8.25,73.5,301.71094
2010-01-01T00:00:00Z,8.25,73.75,301.7041
2010-01-01T00:00:00Z,8.25,74.0,301.70898
2010-01-01T00:00:00Z,8.25,74.25,301.70117
2010-01-01T00:00:00Z,8.25,74.5,301.7578
2010-01-01T00:00:00Z,8.25,74.75,301.79492
2010-01-01T00:00:00Z,8.25,75.0,301.85742
2010-01-01T00:00:00Z,8.25,75.25,301.87207
2010-01-01T00:00:00Z,8.25,75.5,301.85742
2010-01-01T00:00:00Z,8.25,75.75,301.80957
2010-01-01T00:00:00Z,8.25,76.0,301.72266
2010-01-01T00:00:00Z,8.25,76.25,301.6953
2010-01-01T00:00:00Z,8.25,76.5,301.42285
2010-01-01T00:00:00Z,8.25,76.75,301.55762
2010-01-01T00:00:00Z,8.25,77.0,301.3672
2010-01-01T00:00:00Z,8.25,77.25,NaN
2010-01-01T00:00:00Z,8.25,77.5,NaN
2010-01-01T00:00:00Z,8.25,77.75,300.57617
2010-01-01T00:00:00Z,8.25,78.0,300.56152
2010-01-01T00:00:00Z,8.5,70.0,302.2129
2010-01-01T00:00:00Z,8.5,70.25,302.2119
2010-01-01T00:00:00Z,8.5,70.5,302.21387
2010-01-01T00:00:00Z,8.5,70.75,302.2041
2010-01-01T00:00:00Z,8.5,71.0,302.18555
2010-01-01T00:00:00Z,8.5,71.25,302.15137
2010-01-01T00:00:00Z,8.5,71.5,302.10254
2010-01-01T00:00:00Z,8.5,71.75,302.05957
2010-01-01T00:00:00Z,8.5,72.0,301.99316
2010-01-01T00:00:00Z,8.5,72.25,301.94043
2010-01-01T00:00:00Z,8.5,72.5,301.86426
2010-01-01T00:00:00Z,8.5,72.75,301.81543
2010-01-01T00:00:00Z,8.5,73.0,301.76953
2010-01-01T00:00:00Z,8.5,73.25,301.73828
2010-01-01T00:00:00Z,8.5,73.5,301.73633
2010-01-01T00:00:00Z,8.5,73.75,301.73145
2010-01-01T00:00:00Z,8.5,74.0,301.75195
2010-01-01T00:00:00Z,8.5,74.25,301.74316
2010-01-01T00:00:00Z,8.5,74.5,301.8203
2010-01-01T00:00:00Z,8.5,74.75,301.90918
2010-01-01T00:00:00Z,8.5,75.0,301.9746
2010-01-01T00:00:00Z,8.5,75.25,301.9961
2010-01-01T00:00:00Z,8.5,75.5,301.98242
2010-01-01T00:00:00Z,8.5,75.75,301.9082
2010-01-01T00:00:00Z,8.5,76.0,301.792
2010-01-01T00:00:00Z,8.5,76.25,301.7422
2010-01-01T00:00:00Z,8.5,76.5,301.53613
2010-01-01T00:00:00Z,8.5,76.75,301.7295
2010-01-01T00:00:00Z,8.5,77.0,NaN
2010-01-01T00:00:00Z,8.5,77.25,NaN
2010-01-01T00:00:00Z,8.5,77.5,NaN
2010-01-01T00:00:00Z,8.5,77.75,NaN
2010-01-01T00:00:00Z,8.5,78.0,NaN
2010-01-01T00:00:00Z,8.75,70.0,302.17285
2010-01-01T00:00:00Z,8.75,70.25,302.1748
2010-01-01T00:00:00Z,8.75,70.5,302.18457
2010-01-01T00:00:00Z,8.75,70.75,302.1787
2010-01-01T00:00:00Z,8.75,71.0,302.16992
2010-01-01T00:00:00Z,8.75,71.25,302.13965
2010-01-01T00:00:00Z,8.75,71.5,302.08398
2010-01-01T00:00:00Z,8.75,71.75,302.04297
2010-01-01T00:00:00Z,8.75,72.0,301.9912
2010-01-01T00:00:00Z,8.75,72.25,301.9336
2010-01-01T00:00:00Z,8.75,72.5,301.8672
2010-01-01T00:00:00Z,8.75,72.75,301.8369
2010-01-01T00:00:00Z,8.75,73.0,301.79492
2010-01-01T00:00:00Z,8.75,73.25,301.78027
2010-01-01T00:00:00Z,8.75,73.5,301.78027
2010-01-01T00:00:00Z,8.75,73.75,301.78906
2010-01-01T00:00:00Z,8.75,74.0,301.80273
2010-01-01T00:00:00Z,8.75,74.25,301.80762
2010-01-01T00:00:00Z,8.75,74.5,301.90625
2010-01-01T00:00:00Z,8.75,74.75,301.98438
2010-01-01T00:00:00Z,8.75,75.0,302.06348
2010-01-01T00:00:00Z,8.75,75.25,302.0879
2010-01-01T00:00:00Z,8.75,75.5,302.05762
2010-01-01T00:00:00Z,8.75,75.75,301.97266
2010-01-01T00:00:00Z,8.75,76.0,301.8213
2010-01-01T00:00:00Z,8.75,76.25,301.79395
2010-01-01T00:00:00Z,8.75,76.5,301.5625
2010-01-01T00:00:00Z,8.75,76.75,NaN
2010-01-01T00:00:00Z,8.75,77.0,NaN
2010-01-01T00:00:00Z,8.75,77.25,NaN
2010-01-01T00:00:00Z,8.75,77.5,NaN
2010-01-01T00:00:00Z,8.75,77.75,NaN
2010-01-01T00:00:00Z,8.75,78.0,NaN
2010-01-01T00:00:00Z,9.0,70.0,302.1289
2010-01-01T00:00:00Z,9.0,70.25,302.12988
2010-01-01T00:00:00Z,9.0,70.5,302.1416
2010-01-01T00:00:00Z,9.0,70.75,302.15234
2010-01-01T00:00:00Z,9.0,71.0,302.14453
2010-01-01T00:00:00Z,9.0,71.25,302.12012
