time,altitude,latitude,longitude,taux,tauy,curl,modStress,upwelling
UTC,m,degrees_north,degrees_east,Pa,Pa,Pa m-1,Pa,m s-1
2010-07-01T12:00:00Z,0.0,7.0,70.0,0.123724304,0.019630648,9.7575E-9,0.12560707,5.3575013E-7
2010-07-01T12:00:00Z,0.0,7.0,70.25,0.11650886,0.015412465,1.3033402E-7,0.11795905,7.1562004E-6
2010-07-01T12:00:00Z,0.0,7.0,70.5,0.106730804,0.02347965,-5.64883E-7,0.10929409,-3.10158E-5
2010-07-01T12:00:00Z,0.0,7.0,70.75,0.105731696,0.02399815,-3.59465E-7,0.10844715,-1.9737E-5
2010-07-01T12:00:00Z,0.0,7.0,71.0,0.107677996,0.0243073,-2.53657E-7,0.110391885,-1.39274E-5
2010-07-01T12:00:00Z,0.0,7.0,71.25,0.119626,0.02410925,-8.63738E-8,0.12210931,-4.74249E-6
2010-07-01T12:00:00Z,0.0,7.0,71.5,0.12336965,0.023492001,1.79543E-7,0.1256013,9.85806E-6
2010-07-01T12:00:00Z,0.0,7.0,71.75,0.155947,0.0295032,-2.1023E-8,0.15871328,-1.1543E-6
2010-07-01T12:00:00Z,0.0,7.0,72.0,0.156109,0.0388325,4.29088E-7,0.16086636,2.35598E-5
2010-07-01T12:00:00Z,0.0,7.0,72.25,0.13668,0.0424782,-1.18669E-8,0.1431287,-6.51568E-7
2010-07-01T12:00:00Z,0.0,7.0,72.5,0.136373,0.035313,1.81271E-7,0.14087087,9.95297E-6
2010-07-01T12:00:00Z,0.0,7.0,72.75,0.103737,0.0233767,NaN,0.1063383,NaN
2010-07-01T12:00:00Z,0.0,7.0,73.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,73.25,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,73.5,0.0767029,0.0260992,NaN,0.08102162,NaN
2010-07-01T12:00:00Z,0.0,7.0,73.75,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,74.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,74.25,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,74.5,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,74.75,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,75.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,75.25,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,75.5,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,75.75,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,76.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,76.25,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,76.5,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,76.75,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,77.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,77.25,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,77.5,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,77.75,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.0,78.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.25,70.0,0.106862396,0.0244858,2.5238046E-7,0.109725654,1.3381905E-5
2010-07-01T12:00:00Z,0.0,7.25,70.25,0.1059795,0.01917775,3.6313548E-8,0.10805833,1.92545E-6
2010-07-01T12:00:00Z,0.0,7.25,70.5,0.11733685,0.0249068,4.26176E-8,0.12016967,2.25971E-6
2010-07-01T12:00:00Z,0.0,7.25,70.75,0.1005361,0.020027,7.511449E-9,0.102690056,3.9828E-7
2010-07-01T12:00:00Z,0.0,7.25,71.0,0.11147545,0.02292465,3.9625505E-8,0.11386675,2.1010496E-6
2010-07-01T12:00:00Z,0.0,7.25,71.25,0.1150629,0.02565335,9.09584E-8,0.11801654,4.8228803E-6
2010-07-01T12:00:00Z,0.0,7.25,71.5,0.11116195,0.0211635,1.3896604E-7,0.113208055,7.368375E-6
2010-07-01T12:00:00Z,0.0,7.25,71.75,0.120855406,0.025572851,5.2476E-7,0.1235985,2.78242E-5
2010-07-01T12:00:00Z,0.0,7.25,72.0,0.11329579,0.026689399,6.80353E-7,0.11643088,3.60742E-5
2010-07-01T12:00:00Z,0.0,7.25,72.25,0.127901,0.0331754,1.81235E-7,0.13213354,9.60959E-6
2010-07-01T12:00:00Z,0.0,7.25,72.5,0.122657,0.0356701,-3.44699E-8,0.12773839,-1.82769E-6
2010-07-01T12:00:00Z,0.0,7.25,72.75,0.11416,0.0245698,NaN,0.11677406,NaN
2010-07-01T12:00:00Z,0.0,7.25,73.0,NaN,NaN,NaN,NaN,NaN
2010-07-01T12:00:00Z,0.0,7.25,73.25,0.119954,0.0396471,NaN,0.12633628,NaN
