time,latitude,longitude,uwnd,vwnd,wspd,upstr,vpstr,nobs
UTC,degrees_north,degrees_east,m/s,m/s,m/s,m2/s2,m2/s2,count
2010-01-01T00:00:00Z,7.375,75.125,-2.7620094,-0.96136236,3.5799315,-12.543489,-2.990905,95.0
2010-01-01T00:00:00Z,7.375,75.375,-3.157236,-1.1612647,3.894663,-15.076603,-4.272722,95.0
2010-01-01T00:00:00Z,7.375,75.625,-3.6165535,-1.3901604,4.314687,-18.403223,-6.0123296,92.0
2010-01-01T00:00:00Z,7.375,75.875,-4.025514,-1.5686992,4.7438664,-22.126595,-7.812977,93.0
2010-01-01T00:00:00Z,7.375,76.125,-4.5290847,-1.966978,5.316106,-27.25386,-11.322712,91.0
2010-01-01T00:00:00Z,7.375,76.375,-5.154733,-2.61399,6.1206746,-34.639565,-17.274004,88.0
2010-01-01T00:00:00Z,7.375,76.625,-5.7483363,-3.2564242,6.8966317,-43.001892,-24.354513,91.0
2010-01-01T00:00:00Z,7.375,76.875,-6.265641,-3.9568453,7.6737328,-51.88305,-32.86944,90.0
2010-01-01T00:00:00Z,7.375,77.125,-6.438076,-4.6175914,8.160136,-56.03369,-40.621376,96.0
2010-01-01T00:00:00Z,7.375,77.375,-6.3068423,-5.4110966,8.510347,-56.64408,-49.288895,94.0
2010-01-01T00:00:00Z,7.375,77.625,-6.0932064,-6.117622,8.8124895,-56.18629,-57.468105,93.0
2010-01-01T00:00:00Z,7.375,77.875,-5.839895,-6.8180428,9.140955,-55.60642,-66.37978,91.0
2010-01-01T00:00:00Z,7.375,78.125,-5.5408044,-7.129341,9.174145,-53.073307,-69.76744,93.0
2010-01-01T00:00:00Z,7.625,70.125,-2.8734052,-3.04584,4.715255,-14.008423,-15.900628,82.0
2010-01-01T00:00:00Z,7.625,70.375,-2.8566196,-2.9298663,4.5893617,-13.764267,-15.076603,82.0
2010-01-01T00:00:00Z,7.625,70.625,-2.8505156,-2.9115546,4.564183,-13.733748,-14.893487,85.0
2010-01-01T00:00:00Z,7.625,70.875,-2.8596716,-2.8688273,4.522982,-13.733748,-14.649331,80.0
2010-01-01T00:00:00Z,7.625,71.125,-2.8001587,-2.6551912,4.381067,-13.153878,-13.459073,84.0
2010-01-01T00:00:00Z,7.625,71.375,-2.6841848,-2.5285356,4.259752,-12.3603735,-12.665567,83.0
2010-01-01T00:00:00Z,7.625,71.625,-2.560581,-2.3271072,4.109825,-11.597387,-11.322712,85.0
2010-01-01T00:00:00Z,7.625,71.875,-2.5178537,-2.3225293,4.05489,-11.322712,-11.200635,85.0
2010-01-01T00:00:00Z,7.625,72.125,-2.389672,-2.119575,3.9598985,-10.590245,-10.040895,90.0
