"Year","Qtr","Goa","Karnataka","Kerala","SWCoast"
2007,3,1062,4584,59734,65380
2007,4,7674,33983,88608,130265
2008,1,14146,24210,75024,113380
2008,2,20952,9422,32297,62671
2008,3,983,10054,63362,74399
2008,4,13043,37313,60943,111299
2009,1,3823,19362,38634,61819
2009,2,1364,6486,14852,22702
2009,3,550,7568,74227,82345
2009,4,22192,23987,39716,85895
2010,1,8545,25672,67473,101690
2010,2,2411,4749,31302,38462
2010,3,60,9492,41522,51074
2010,4,5154,36929,119046,161129
2011,1,3674,16795,94487,114956
2011,2,420,22339,60646,83405
2011,3,532,10312,60259,71103
2011,4,13025,34091,106710,153826
2012,1,2946,33421,88556,124923
2012,2,19158,9912,44914,73984
2012,3,1275,15420,121986,138681
2012,4,18594,60864,144330,223788
2013,1,2325,25560,107677,135562
2013,2,11755,15126,58013,84894
2013,3,173,6217,20374,26764
2013,4,26378,51550,60777,138705
2014,1,34629,29949,28199,92777
2014,2,28429,28033,18519,74981
2014,3,8169,16688,47073,71930
2014,4,44675,68918,61296,174889
2015,1,4426,8162,19902,32490
2015,2,9355,8917,9412,27684
2015,3,138,3075,26911,30124
2015,4,2293,23335,12206,37834
2016,1,NA,NA,NA,NA
2016,2,NA,NA,NA,NA
2016,3,NA,NA,NA,NA
2016,4,NA,NA,NA,NA
2017,1,NA,NA,NA,NA
2017,2,NA,NA,NA,NA
2017,3,NA,NA,NA,NA
2017,4,NA,NA,NA,NA
2018,1,NA,NA,NA,NA
2018,2,NA,NA,NA,NA
2018,3,NA,NA,NA,NA
2018,4,NA,NA,NA,NA
2019,1,NA,NA,NA,NA
2019,2,NA,NA,NA,NA
2019,3,NA,NA,NA,NA
2019,4,NA,NA,NA,NA
2020,1,NA,NA,NA,NA
2020,2,NA,NA,NA,NA
2020,3,NA,NA,NA,NA
2020,4,NA,NA,NA,NA
